,both_corr,m1_only,m2_only,both_incorr
sent_0,1,0,2,2
sent_1,1,2,0,1
sent_2,2,0,3,0
sent_3,0,1,1,4
sent_4,2,0,0,2
sent_5,1,0,0,1
sent_6,0,0,0,0
sent_7,1,0,1,0
sent_8,1,0,0,0
sent_9,3,0,1,0
sent_10,2,0,0,0
sent_11,1,0,1,0
sent_12,1,0,0,0
sent_13,2,0,1,0
sent_14,3,0,2,0
sent_15,1,0,1,1
sent_16,1,1,4,0
sent_17,1,0,3,1
sent_18,0,0,1,2
sent_19,1,0,1,2
sent_20,0,0,3,1
sent_21,1,1,2,0
sent_22,0,2,2,0
sent_23,0,0,1,1
sent_24,1,0,1,0
sent_25,3,0,0,0
sent_26,1,0,0,0
sent_27,3,0,0,1
sent_28,0,0,0,1
sent_29,0,0,0,1
sent_30,1,1,1,1
sent_31,0,0,0,0
sent_32,3,0,0,0
sent_33,0,0,1,1
sent_34,1,0,0,1
sent_35,2,0,2,0
sent_36,1,1,0,1
sent_37,0,2,0,3
sent_38,2,1,3,1
sent_39,0,0,1,1
sent_40,2,0,1,1
sent_41,0,0,1,2
sent_42,0,0,2,0
sent_43,1,1,1,2
sent_44,1,0,1,1
sent_45,0,1,3,0
sent_46,0,0,2,0
sent_47,0,0,0,0
sent_48,0,0,0,0
sent_49,1,0,0,2
sent_50,3,2,0,0
sent_51,2,0,0,2
sent_52,1,0,3,0
sent_53,4,0,1,0
sent_54,4,1,1,1
sent_55,1,0,0,0
sent_56,0,2,2,1
sent_57,0,0,0,1
sent_58,0,0,3,1
sent_59,0,0,2,1
sent_60,1,0,2,0
sent_61,1,0,0,0
sent_62,0,0,2,1
sent_63,0,0,0,0
sent_64,1,0,0,0
sent_65,1,1,0,1
sent_66,0,0,1,2
sent_67,0,0,0,0
sent_68,0,0,1,1
sent_69,1,1,1,0
sent_70,1,0,0,1
sent_71,1,0,0,1
sent_72,1,0,1,0
sent_73,0,0,0,4
sent_74,1,2,1,1
sent_75,1,0,0,0
sent_76,1,1,4,1
sent_77,0,0,1,1
sent_78,2,0,0,1
sent_79,2,0,2,1
sent_80,0,0,0,1
sent_81,0,0,1,3
sent_82,0,1,1,1
sent_83,1,0,2,2
sent_84,1,0,2,1
sent_85,2,0,0,0
sent_86,3,0,0,0
sent_87,2,0,0,1
sent_88,3,0,0,0
sent_89,3,0,1,0
sent_90,0,0,0,2
sent_91,2,0,0,1
sent_92,2,0,0,0
sent_93,0,1,4,0
sent_94,2,0,2,0
sent_95,2,0,0,0
sent_96,2,0,0,0
sent_97,3,0,0,2
sent_98,0,0,1,2
sent_99,2,0,0,4
sent_100,1,0,1,1
sent_101,0,0,1,6
sent_102,1,0,2,2
sent_103,2,1,0,0
sent_104,0,1,0,1
