,both_corr,m1_only,m2_only,both_incorr
sent_0,1,0,0,4
sent_1,0,0,3,1
sent_2,1,1,1,2
sent_3,0,0,1,5
sent_4,0,0,2,2
sent_5,1,0,0,1
sent_6,0,0,0,0
sent_7,1,0,0,1
sent_8,1,0,0,0
sent_9,2,0,1,1
sent_10,2,0,0,0
sent_11,1,1,0,0
sent_12,1,0,0,0
sent_13,1,0,1,1
sent_14,1,0,2,2
sent_15,1,0,0,2
sent_16,1,2,1,2
sent_17,0,0,1,4
sent_18,0,1,0,2
sent_19,1,0,0,3
sent_20,0,1,0,3
sent_21,2,1,0,1
sent_22,2,0,0,2
sent_23,0,2,0,0
sent_24,0,1,1,0
sent_25,1,0,2,0
sent_26,1,0,0,0
sent_27,3,0,0,1
sent_28,0,0,0,1
sent_29,0,0,0,1
sent_30,0,0,2,2
sent_31,0,0,0,0
sent_32,3,0,0,0
sent_33,0,0,0,2
sent_34,1,0,0,1
sent_35,2,2,0,0
sent_36,1,0,1,1
sent_37,0,2,2,1
sent_38,2,1,1,3
sent_39,0,0,0,2
sent_40,0,0,2,2
sent_41,0,0,0,3
sent_42,0,0,0,2
sent_43,0,1,2,2
sent_44,0,0,1,2
sent_45,1,0,0,3
sent_46,0,1,0,1
sent_47,0,0,0,0
sent_48,0,0,0,0
sent_49,1,0,0,2
sent_50,5,0,0,0
sent_51,2,0,0,2
sent_52,1,0,0,3
sent_53,3,0,1,1
sent_54,5,0,0,2
sent_55,1,0,0,0
sent_56,0,0,2,3
sent_57,0,0,0,1
sent_58,0,0,0,4
sent_59,0,2,0,1
sent_60,1,0,0,2
sent_61,1,0,0,0
sent_62,0,1,0,2
sent_63,0,0,0,0
sent_64,1,0,0,0
sent_65,2,0,0,1
sent_66,0,0,0,3
sent_67,0,0,0,0
sent_68,0,0,0,2
sent_69,2,0,0,1
sent_70,1,0,0,1
sent_71,1,1,0,0
sent_72,1,0,0,1
sent_73,0,1,0,3
sent_74,2,0,1,2
sent_75,0,0,1,0
sent_76,2,2,0,3
sent_77,0,0,0,2
sent_78,2,0,0,1
sent_79,2,0,0,3
sent_80,0,0,0,1
sent_81,0,0,0,4
sent_82,1,0,0,2
sent_83,1,0,0,4
sent_84,0,0,1,3
sent_85,2,0,0,0
sent_86,1,0,2,0
sent_87,2,1,0,0
sent_88,3,0,0,0
sent_89,3,0,0,1
sent_90,0,0,0,2
sent_91,1,0,1,1
sent_92,2,0,0,0
sent_93,1,1,0,3
sent_94,2,1,0,1
sent_95,1,0,1,0
sent_96,1,0,1,0
sent_97,2,1,1,1
sent_98,0,0,0,3
sent_99,2,0,0,4
sent_100,1,0,0,2
sent_101,0,1,0,6
sent_102,1,0,0,4
sent_103,2,0,1,0
sent_104,1,0,0,1
