sent,true,predictions
UNK based on synchronous grammars and tree transducers UNK to improve the quality of statistical machine translation output but are often very computationally UNK,O O O B I O B B O O O O O O B I I I O O O O B O,O O O B I O B I I O O O O O B I I O O O O O B I
The complexity is exponential in the size of individual grammar rules due to arbitrary re UNK between the two languages,O B O B O O O O O B I O O B O O O O O O,O B O B O O O O O B I O O O O O O O O O
We develop a theory of UNK for synchronous context free grammars and present a linear time algorithm for UNK synchronous rules when possible,O O O O O B O B I I I O O O B I I O B B I O O,O O O O O O O B I I I O O O B I I O B I I O O
In our large scale experiments we found that almost all rules are UNK and the resulting UNK rule set significantly improves the UNK and accuracy of a state of the art syntax based machine translation system,O O O O O O O O O O O O B O O O B I O O O O B O B O O O O O O B O B I I,O O O O O O O O O O O O O O O O B I O O O O O O O O O B O O O B I I I I
We also discuss the more general and computationally more difficult problem of finding good parsing strategies for non UNK rules and present an approximate polynomial time algorithm for this problem,O O O O O O O B O O O O O O B I O O B I O O O O B I I O O O,O O O O O O O B O O O O O O B I O B I I O O O B I I I O O O
Many NLP applications UNK that texts are UNK based on their semantic distance how similar or different the texts are,O B I O O O O O O O O B I O O O O O O O,O B O O O O O O O O O B I O O O O O O O
For example comparing the text of a new document to that of documents of known topics can help identify the topic of the new text,O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B O O O O O O O O O O O O
UNK a distributional distance is used to capture the implicit semantic distance between two UNK of text,O O B I O O O O O B I I O O O O O,O O B I O O O O O O B I O O O O B
However such approaches do not take into account the semantic relations between words,O O O O O O O O O B I O O,O O O O O O O O O B I O O
In this article we introduce an alternative method of measuring the semantic distance between texts that UNK distributional information and UNK knowledge within a network UNK formalism,O O O O O O O O O O O B I O O O O B I O B I O O B I I,O O O O O O O O O O O B I O O O B I I O B I O O B I I
We first represent each text as a collection of frequency weighted concepts within an ontology,O O O O O O O O O B I I O O B,O O O O O O O O O B I I O O B
We then make use of a network UNK method which provides an efficient way of explicitly measuring the frequency weighted UNK distance between the concepts across two texts,O O O O O O B I I O O O O O O O O O B I I I O O O O O O,O O O O O O B I O O O O O O O O O O B I I I O O O O O O
We evaluate our method in a variety of NLP tasks and find that it performs well on two of three tasks,O O O O O O O O B I O O O O O O O O O O O,O O O O O O O O B I O O O O O O O O O O O
We develop a new measure of semantic coherence that enables us to account for the performance difference across the three data sets shedding light on the properties of a data set that lends itself well to our method,O O O O O O B I O O O O O O O O O O O O B I O O O O O O O B I O O O O O O O,O O O O B O B I O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O
Recent work in natural language generation has UNK to take linguistic variation into account developing algorithms that are capable of UNK the system 's linguistic style based either on the user 's linguistic style or other factors such as UNK or UNK,O O O B I I O O O O B I O O O B O O O O O O O O B I O O O O O O B I O O O O O O O O,O O O B I I O O O O B I O O O B O O O O O O O O B O O O O O O O B O O O O O O B I I
While UNK control has traditionally UNK on UNK rules statistical methods are likely to be needed for generation systems to scale to the production of the large range of variation observed in human dialogues,O B I O O O O O O B I O O O O O O B I O O O O O O O O O O O O O O O,O O O O O O O B I I O O O O O O O B I O O O O O O O O O O O O O O O
UNK work on statistical natural language generation UNK has shown that the UNK and UNK of generated utterances can be optimized from data however these data driven methods have not been shown to produce UNK variation that is UNK by humans in the way that the system intended,O O O B I I I B O O O O B O B O O B O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O,O O O B I I I O O O O O O O O O B I O O O O O O O B I I O O O O O O B I O O O O O O O O O O O O
This paper describes UNK a highly UNK language generator whose parameters are based on UNK findings about the linguistic UNK of UNK,O O O B O O B B I O B O O O O O O O B I O O,O O O O O O B I I I I O O O O O O O B I O B
We present a novel UNK method which uses parameter estimation models trained on UNK annotated data to predict the generation decisions required to convey any combination of UNK values along the five main UNK of UNK,O O O O B O O O B I I O O O O O O O O B I O O O O O O O O O O O O O O O,O O O O O O O O B I I I O B I I O O O B O O O O O O O O O O O O O O O B
A human evaluation shows that parameter estimation models produce UNK UNK variation along multiple UNK on a continuous scale and without the computational cost UNK by UNK techniques,O O O O O B I I O O B I O O O O O O O O O O B I O O B O,O O O O O B I I O B I I O O O O O B I O O O B O O O B I
This article deals with UNK UNK in Spanish UNK we focus on the UNK distinction between event and result UNK,O O O O B I O O O O O O O B I O B O B I,O O O O O O O O O O O O O O O O O O O B
The goals of this work is UNK UNK to UNK the most relevant features for this UNK distinction and second to build an automatic UNK system of UNK UNK according to their UNK,O O O O O O O O O O O O O O O O B I O O O O O B I I O B I O O O B,O O O O O O O O O O O O O B O O O O O O O O O B I I O O O O O O B
We have based our study on theoretical UNK dealing with this semantic distinction and we have analyzed them empirically by means of Machine UNK techniques which are the basis of the UNK UNK,O O O O O O B I O O O B O O O O O O O O O O B I I O O O O O O B I,O O O O O O O O O O O B O O O O O O O O O O B I O O O O O O O B I
This is the UNK tool that aims to automatically classify UNK UNK in event result or UNK UNK types in Spanish,O O O O O O O O O O B I O O O O B I O O O,O O O O O O O O O O O O O O O O O O O O B
