id,token
0,Frame
0,semantics
0,is
0,a
0,linguistic
0,theory
0,that
0,has
0,been
0,instantiated
0,for
0,English
0,in
0,the
0,FrameNet
0,lexicon
0,.
0,We
0,solve
0,the
0,problem
0,of
0,frame
0,-
0,semantic
0,parsing
0,using
0,a
0,two
0,-
0,stage
0,statistical
0,model
0,that
0,takes
0,lexical
0,targets
0,(
0,i.e.
0,","
0,content
0,words
0,and
0,phrases
0,)
0,in
0,their
0,sentential
0,contexts
0,and
0,predicts
0,frame
0,-
0,semantic
0,structures
0,.
0,Given
0,a
0,target
0,in
0,context
0,","
0,the
0,first
0,stage
0,disambiguates
0,it
0,to
0,a
0,semantic
0,frame
0,.
0,This
0,model
0,uses
0,latent
0,variables
0,and
0,semi
0,-
0,supervised
0,learning
0,to
0,improve
0,frame
0,disambiguation
0,for
0,targets
0,unseen
0,at
0,training
0,time
0,.
0,The
0,second
0,stage
0,finds
0,the
0,target
0,'s
0,locally
0,expressed
0,semantic
0,arguments
0,.
0,At
0,inference
0,time
0,","
0,a
0,fast
0,exact
0,dual
0,decomposition
0,algorithm
0,collectively
0,predicts
0,all
0,the
0,arguments
0,of
0,a
0,frame
0,at
0,once
0,in
0,order
0,to
0,respect
0,declaratively
0,stated
0,linguistic
0,constraints
0,","
0,resulting
0,in
0,qualitatively
0,better
0,structures
0,than
0,naïve
0,local
0,predictors
0,.
0,Both
0,components
0,are
0,feature
0,-
0,based
0,and
0,discriminatively
0,trained
0,on
0,a
0,small
0,set
0,of
0,annotated
0,frame
0,-
0,semantic
0,parses
0,.
0,On
0,the
0,SemEval
0,2007
0,benchmark
0,data
0,set
0,","
0,the
0,approach
0,","
0,along
0,with
0,a
0,heuristic
0,identifier
0,of
0,frame
0,-
0,evoking
0,targets
0,","
0,outperforms
0,the
0,prior
0,state
0,of
0,the
0,art
0,by
0,significant
0,margins
0,.
0,Additionally
0,","
0,we
0,present
0,experiments
0,on
0,the
0,much
0,larger
0,FrameNet
0,1.5
0,data
0,set
0,.
0,We
0,have
0,released
0,our
0,frame
0,-
0,semantic
0,parser
0,as
0,open
0,-
0,source
0,software
0,.
1,Word
1,Sense
1,Disambiguation
1,(
1,WSD
1,)
1,systems
1,automatically
1,choose
1,the
1,intended
1,meaning
1,of
1,a
1,word
1,in
1,context
1,.
1,In
1,this
1,article
1,we
1,present
1,a
1,WSD
1,algorithm
1,based
1,on
1,random
1,walks
1,over
1,large
1,Lexical
1,Knowledge
1,Bases
1,(
1,LKB
1,)
1,.
1,We
1,show
1,that
1,our
1,algorithm
1,performs
1,better
1,than
1,other
1,graph
1,-
1,based
1,methods
1,when
1,run
1,on
1,a
1,graph
1,built
1,from
1,WordNet
1,and
1,eXtended
1,WordNet
1,.
1,Our
1,algorithm
1,and
1,LKB
1,combination
1,compares
1,favorably
1,to
1,other
1,knowledge
1,-
1,based
1,approaches
1,in
1,the
1,literature
1,that
1,use
1,similar
1,knowledge
1,on
1,a
1,variety
1,of
1,English
1,data
1,sets
1,and
1,a
1,data
1,set
1,on
1,Spanish
1,.
1,We
1,include
1,a
1,detailed
1,analysis
1,of
1,the
1,factors
1,that
1,affect
1,the
1,algorithm
1,.
1,The
1,algorithm
1,and
1,the
1,LKBs
1,used
1,are
1,publicly
1,available
1,","
1,and
1,the
1,results
1,easily
1,reproducible
1,.
2,Finding
2,the
2,right
2,representations
2,for
2,words
2,is
2,critical
2,for
2,building
2,accurate
2,NLP
2,systems
2,when
2,domain
2,-
2,specific
2,labeled
2,data
2,for
2,the
2,task
2,is
2,scarce
2,.
2,This
2,article
2,investigates
2,novel
2,techniques
2,for
2,extracting
2,features
2,from
2,n
2,-
2,gram
2,models
2,","
2,Hidden
2,Markov
2,Models
2,","
2,and
2,other
2,statistical
2,language
2,models
2,","
2,including
2,a
2,novel
2,Partial
2,Lattice
2,Markov
2,Random
2,Field
2,model
2,.
2,Experiments
2,on
2,part
2,-
2,of
2,-
2,speech
2,tagging
2,and
2,information
2,extraction
2,","
2,among
2,other
2,tasks
2,","
2,indicate
2,that
2,features
2,taken
2,from
2,statistical
2,language
2,models
2,","
2,in
2,combination
2,with
2,more
2,traditional
2,features
2,","
2,outperform
2,traditional
2,representations
2,alone
2,","
2,and
2,that
2,graphical
2,model
2,representations
2,outperform
2,n
2,-
2,gram
2,models
2,","
2,especially
2,on
2,sparse
2,and
2,polysemous
2,words
2,.
3,What
3,is
3,here
3,called
3,controlled
3,natural
3,language
3,(
3,CNL
3,)
3,has
3,traditionally
3,been
3,given
3,many
3,different
3,names
3,.
3,Especially
3,during
3,the
3,last
3,four
3,decades
3,","
3,a
3,wide
3,variety
3,of
3,such
3,languages
3,have
3,been
3,designed
3,.
3,They
3,are
3,applied
3,to
3,improve
3,communication
3,among
3,humans
3,","
3,to
3,improve
3,translation
3,","
3,or
3,to
3,provide
3,natural
3,and
3,intuitive
3,representations
3,for
3,formal
